   E*/MeV   180Pb     181Pb     182Pb     183Pb     184Pb     185Pb     186Pb  
    48.0 0.000E+00 0.716E-06 0.775E-03 0.167E-03 0.839E-03 0.802E-02 0.135E-03
    49.0 0.000E+00 0.171E-05 0.758E-03 0.108E-03 0.116E-02 0.679E-02 0.861E-04
    50.0 0.000E+00 0.374E-05 0.705E-03 0.695E-04 0.153E-02 0.558E-02 0.546E-04
    51.0 0.000E+00 0.748E-05 0.627E-03 0.444E-04 0.193E-02 0.447E-02 0.343E-04

    
  E*/MeV   178Hg     179Hg     180Hg     181Hg     182Hg     183Hg     184Hg  
    30.0 0.000E+00 0.000E+00 0.155E-14 0.226E-09 0.597E-11 0.181E-09 0.133E-08
    31.0 0.000E+00 0.000E+00 0.130E-11 0.723E-07 0.141E-07 0.145E-07 0.551E-06
    32.0 0.000E+00 0.000E+00 0.268E-10 0.544E-06 0.857E-07 0.118E-06 0.317E-05
    33.0 0.000E+00 0.000E+00 0.350E-09 0.245E-05 0.213E-06 0.720E-06 0.106E-04
    34.0 0.000E+00 0.000E+00 0.382E-08 0.997E-05 0.456E-06 0.414E-05 0.328E-04
    35.0 0.000E+00 0.000E+00 0.361E-07 0.373E-04 0.940E-06 0.223E-04 0.964E-04
    36.0 0.000E+00 0.000E+00 0.298E-06 0.126E-03 0.188E-05 0.111E-03 0.266E-03
    37.0 0.000E+00 0.000E+00 0.204E-05 0.372E-03 0.356E-05 0.480E-03 0.662E-03
    38.0 0.000E+00 0.000E+00 0.104E-04 0.868E-03 0.616E-05 0.162E-02 0.135E-02
    39.0 0.000E+00 0.000E+00 0.354E-04 0.146E-02 0.954E-05 0.378E-02 0.200E-02
    40.0 0.000E+00 0.000E+00 0.833E-04 0.178E-02 0.143E-04 0.628E-02 0.218E-02
    41.0 0.000E+00 0.000E+00 0.153E-03 0.172E-02 0.234E-04 0.837E-02 0.191E-02
    42.0 0.000E+00 0.000E+00 0.243E-03 0.144E-02 0.422E-04 0.983E-02 0.147E-02
    43.0 0.000E+00 0.195E-08 0.351E-03 0.110E-02 0.774E-04 0.107E-01 0.105E-02
    44.0 0.000E+00 0.829E-08 0.470E-03 0.798E-03 0.138E-03 0.110E-01 0.724E-03
    45.0 0.000E+00 0.298E-07 0.587E-03 0.559E-03 0.234E-03 0.108E-01 0.486E-03
