E_lab	E*/MeV	191At	192At	BF=0.65	BF=0.65	195At	196At	197At
233.632	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.18E-03	1.55E-04	0.00E+00
235.03	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.97E-03	1.48E-04	0.00E+00
236.427	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.59E-03	1.26E-04	0.00E+00
237.824	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.88E-03	9.87E-05	0.00E+00
239.221	31	0.00E+00	0.00E+00	0.00E+00	2.22E-08	2.81E-03	7.23E-05	0.00E+00
240.618	32	0.00E+00	0.00E+00	0.00E+00	5.50E-07	2.50E-03	5.00E-05	0.00E+00
242.015	33	0.00E+00	0.00E+00	0.00E+00	5.14E-06	2.05E-03	3.28E-05	0.00E+00
243.413	34	0.00E+00	0.00E+00	0.00E+00	2.51E-05	1.58E-03	2.06E-05	0.00E+00
244.81	35	0.00E+00	0.00E+00	0.00E+00	7.97E-05	1.15E-03	1.23E-05	0.00E+00
246.207	36	0.00E+00	0.00E+00	0.00E+00	1.95E-04	7.92E-04	7.04E-06	0.00E+00
247.604	37	0.00E+00	0.00E+00	0.00E+00	3.96E-04	5.24E-04	3.77E-06	0.00E+00
249.001	38	0.00E+00	0.00E+00	0.00E+00	6.86E-04	3.34E-04	1.77E-06	0.00E+00
250.398	39	0.00E+00	0.00E+00	0.00E+00	1.01E-03	2.06E-04	2.96E-07	0.00E+00
251.796	40	0.00E+00	0.00E+00	1.91E-10	1.25E-03	1.24E-04	0.00E+00	0.00E+00
253.193	41	0.00E+00	0.00E+00	5.00E-09	1.35E-03	7.29E-05	0.00E+00	0.00E+00
254.59	42	0.00E+00	0.00E+00	5.40E-08	1.31E-03	4.21E-05	0.00E+00	0.00E+00
255.987	43	0.00E+00	0.00E+00	3.31E-07	1.15E-03	2.40E-05	0.00E+00	0.00E+00
257.384	44	0.00E+00	0.00E+00	1.35E-06	9.52E-04	1.36E-05	0.00E+00	0.00E+00
258.781	45	0.00E+00	0.00E+00	4.09E-06	7.45E-04	7.55E-06	0.00E+00	0.00E+00
260.179	46	0.00E+00	0.00E+00	9.86E-06	5.59E-04	4.18E-06	0.00E+00	0.00E+00
261.576	47	0.00E+00	0.00E+00	1.96E-05	4.05E-04	2.26E-06	0.00E+00	0.00E+00
262.973	48	0.00E+00	0.00E+00	3.25E-05	2.86E-04	1.20E-06	0.00E+00	0.00E+00
264.37	49	0.00E+00	0.00E+00	4.61E-05	1.97E-04	6.11E-07	0.00E+00	0.00E+00
265.767	50	0.00E+00	0.00E+00	5.71E-05	1.34E-04	2.72E-07	0.00E+00	0.00E+00
267.164	51	0.00E+00	0.00E+00	6.34E-05	8.92E-05	1.74E-08	0.00E+00	0.00E+00
268.562	52	0.00E+00	1.77E-11	6.45E-05	5.88E-05	0.00E+00	0.00E+00	0.00E+00
269.959	53	0.00E+00	2.35E-10	6.12E-05	3.83E-05	0.00E+00	0.00E+00	0.00E+00
271.356	54	0.00E+00	1.83E-09	5.47E-05	2.48E-05	0.00E+00	0.00E+00	0.00E+00
