  E*/MeV   191At     192At     193At     BF=0.63     BF=0.63     196At     197At  
    44.0 0.000E+00 0.000E+00 0.590E-06 0.410E-03 0.539E-05 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.180E-05 0.317E-03 0.299E-05 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.429E-05 0.235E-03 0.165E-05 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.826E-05 0.169E-03 0.858E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.132E-04 0.118E-03 0.434E-06 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.180E-04 0.811E-04 0.186E-06 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.216E-04 0.546E-04 0.000E+00 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.233E-04 0.363E-04 0.000E+00 0.000E+00 0.000E+00

    
  E*/MeV   190Po     191Po     192Po     BF=0.64     BF=0.64     BF=0.64     196Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.224E-07 0.492E-06
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.178E-06 0.166E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.136E-05 0.517E-05
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.925E-05 0.148E-04
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.523E-04 0.370E-04
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.821E-09 0.220E-03 0.737E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.211E-07 0.670E-03 0.112E-03
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.231E-06 0.158E-02 0.136E-03
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.165E-05 0.308E-02 0.141E-03
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.886E-05 0.508E-02 0.131E-03
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.371E-04 0.729E-02 0.110E-03
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.125E-03 0.921E-02 0.866E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.348E-03 0.104E-01 0.639E-04
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.825E-03 0.107E-01 0.446E-04
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.168E-02 0.101E-01 0.297E-04
    35.0 0.000E+00 0.000E+00 0.000E+00 0.136E-08 0.299E-02 0.884E-02 0.189E-04
    36.0 0.000E+00 0.000E+00 0.000E+00 0.201E-07 0.466E-02 0.725E-02 0.116E-04
    37.0 0.000E+00 0.000E+00 0.000E+00 0.122E-06 0.641E-02 0.561E-02 0.682E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.430E-06 0.785E-02 0.414E-02 0.385E-05
    39.0 0.000E+00 0.000E+00 0.000E+00 0.112E-05 0.867E-02 0.292E-02 0.210E-05
    40.0 0.000E+00 0.000E+00 0.000E+00 0.274E-05 0.875E-02 0.199E-02 0.105E-05
    41.0 0.000E+00 0.000E+00 0.000E+00 0.676E-05 0.818E-02 0.131E-02 0.445E-06
    42.0 0.000E+00 0.000E+00 0.000E+00 0.162E-04 0.716E-02 0.844E-03 0.000E+00
    43.0 0.000E+00 0.000E+00 0.000E+00 0.359E-04 0.593E-02 0.531E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.726E-04 0.469E-02 0.328E-03 0.000E+00
