     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   249.425    5.20    49.0  0.2600E+03  0.3225E-06  0.2600E+03    56.0      100.00
   250.655    5.22    50.0  0.2588E+03  0.2721E-06  0.2588E+03    56.0      100.00
   251.884    5.25    51.0  0.2575E+03  0.2314E-06  0.2575E+03    56.0      100.00
   253.114    5.27    52.0  0.2563E+03  0.1968E-06  0.2563E+03    56.0      100.00
   254.344    5.30    53.0  0.2550E+03  0.1665E-06  0.2550E+03    56.0      100.00
   255.573    5.32    54.0  0.2538E+03  0.1400E-06  0.2538E+03    56.0      100.00
   256.803    5.35    55.0  0.2526E+03  0.1168E-06  0.2526E+03    56.0      100.00
   258.033    5.38    56.0  0.2514E+03  0.9691E-07  0.2514E+03    56.0      100.00
   259.262    5.40    57.0  0.2502E+03  0.8005E-07  0.2502E+03    56.0      100.00

     Querschnitte / mbarn

  E*/MeV   251Lr     252Lr     253Lr     254Lr     255Lr     256Lr     257Lr  
    42.0 0.000E+00 0.142E-08 0.157E-05 0.529E-06 0.000E+00 0.000E+00 0.000E+00
    43.0 0.000E+00 0.430E-08 0.121E-05 0.300E-06 0.000E+00 0.000E+00 0.000E+00
    44.0 0.000E+00 0.105E-07 0.897E-06 0.169E-06 0.000E+00 0.000E+00 0.000E+00
    45.0 0.000E+00 0.215E-07 0.640E-06 0.947E-07 0.000E+00 0.000E+00 0.000E+00
    46.0 0.474E-13 0.376E-07 0.443E-06 0.529E-07 0.000E+00 0.000E+00 0.000E+00
    47.0 0.461E-12 0.572E-07 0.300E-06 0.294E-07 0.000E+00 0.000E+00 0.000E+00
    48.0 0.310E-11 0.768E-07 0.199E-06 0.161E-07 0.000E+00 0.000E+00 0.000E+00
    49.0 0.153E-10 0.926E-07 0.130E-06 0.875E-08 0.000E+00 0.000E+00 0.000E+00
    50.0 0.585E-10 0.102E-06 0.834E-07 0.436E-08 0.000E+00 0.000E+00 0.000E+00
    51.0 0.179E-09 0.105E-06 0.531E-07 0.165E-08 0.000E+00 0.000E+00 0.000E+00
    52.0 0.453E-09 0.101E-06 0.334E-07 0.391E-09 0.000E+00 0.000E+00 0.000E+00
    53.0 0.968E-09 0.916E-07 0.209E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    54.0 0.178E-08 0.798E-07 0.129E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    55.0 0.289E-08 0.669E-07 0.798E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    56.0 0.417E-08 0.543E-07 0.488E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    57.0 0.547E-08 0.429E-07 0.297E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   250No     251No     252No     253No     254No     255No     256No  
    42.0 0.000E+00 0.000E+00 0.164E-11 0.110E-07 0.116E-07 0.242E-09 0.000E+00
    43.0 0.000E+00 0.000E+00 0.656E-11 0.140E-07 0.725E-08 0.935E-10 0.000E+00
    44.0 0.000E+00 0.000E+00 0.216E-10 0.161E-07 0.445E-08 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.598E-10 0.169E-07 0.269E-08 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.141E-09 0.166E-07 0.160E-08 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.289E-09 0.152E-07 0.947E-09 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.519E-09 0.132E-07 0.554E-09 0.000E+00 0.000E+00
    49.0 0.000E+00 0.244E-14 0.827E-09 0.109E-07 0.320E-09 0.000E+00 0.000E+00
    50.0 0.000E+00 0.149E-13 0.118E-08 0.868E-08 0.181E-09 0.000E+00 0.000E+00
    51.0 0.000E+00 0.824E-13 0.153E-08 0.667E-08 0.980E-10 0.000E+00 0.000E+00
    52.0 0.000E+00 0.324E-12 0.183E-08 0.499E-08 0.456E-10 0.000E+00 0.000E+00
    53.0 0.000E+00 0.108E-11 0.203E-08 0.363E-08 0.101E-10 0.000E+00 0.000E+00
    54.0 0.000E+00 0.311E-11 0.210E-08 0.259E-08 0.000E+00 0.000E+00 0.000E+00
    55.0 0.000E+00 0.782E-11 0.206E-08 0.182E-08 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.174E-10 0.192E-08 0.125E-08 0.000E+00 0.000E+00 0.000E+00
    57.0 0.272E-15 0.344E-10 0.172E-08 0.852E-09 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   249Md     250Md     251Md     252Md     253Md     254Md     255Md  
    42.0 0.165E-11 0.174E-07 0.144E-06 0.576E-08 0.000E+00 0.528E-09 0.191E-10
    43.0 0.687E-11 0.273E-07 0.989E-07 0.311E-08 0.000E+00 0.586E-09 0.120E-10
    44.0 0.233E-10 0.393E-07 0.657E-07 0.167E-08 0.000E+00 0.605E-09 0.735E-11
