  E*/MeV   186At     187At     188At     189At     190At     191At     192At  
    58.0 0.149E-08 0.342E-05 0.142E-05 0.555E-05 0.920E-04 0.234E-05 0.000E+00
    60.0 0.736E-08 0.262E-05 0.646E-06 0.958E-05 0.646E-04 0.977E-06 0.000E+00
    60.0 0.736E-08 0.262E-05 0.646E-06 0.958E-05 0.646E-04 0.977E-06 0.000E+00
    61.0 0.142E-07 0.219E-05 0.431E-06 0.116E-04 0.525E-04 0.624E-06 0.000E+00
    62.0 0.254E-07 0.179E-05 0.287E-06 0.134E-04 0.419E-04 0.397E-06 0.000E+00
    63.0 0.418E-07 0.143E-05 0.191E-06 0.147E-04 0.329E-04 0.250E-06 0.000E+00
    64.0 0.639E-07 0.112E-05 0.131E-06 0.156E-04 0.254E-04 0.156E-06 0.000E+00
    65.0 0.913E-07 0.861E-06 0.952E-07 0.159E-04 0.194E-04 0.958E-07 0.000E+00
    66.0 0.122E-06 0.653E-06 0.810E-07 0.157E-04 0.146E-04 0.569E-07 0.000E+00
    67.0 0.154E-06 0.489E-06 0.869E-07 0.150E-04 0.109E-04 0.322E-07 0.000E+00


  E*/MeV   184Bi     185Bi     186Bi     187Bi     188Bi     189Bi     190Bi  
    24.0 0.000E+00 0.000E+00 0.000E+00 0.269E-10 0.155E-10 0.158E-12 0.334E-09
    25.0 0.000E+00 0.000E+00 0.000E+00 0.131E-09 0.262E-10 0.183E-11 0.114E-08
    26.0 0.000E+00 0.000E+00 0.000E+00 0.661E-07 0.539E-07 0.108E-08 0.580E-06
    27.0 0.000E+00 0.000E+00 0.000E+00 0.322E-06 0.149E-06 0.951E-08 0.216E-05
    28.0 0.000E+00 0.000E+00 0.000E+00 0.129E-05 0.302E-06 0.725E-07 0.696E-05
    29.0 0.000E+00 0.000E+00 0.113E-10 0.461E-05 0.575E-06 0.491E-06 0.210E-04
    30.0 0.000E+00 0.000E+00 0.246E-09 0.147E-04 0.106E-05 0.297E-05 0.592E-04
    31.0 0.000E+00 0.000E+00 0.332E-08 0.409E-04 0.187E-05 0.156E-04 0.153E-03
    32.0 0.000E+00 0.000E+00 0.312E-07 0.946E-04 0.300E-05 0.662E-04 0.341E-03
    33.0 0.000E+00 0.000E+00 0.190E-06 0.165E-03 0.400E-05 0.199E-03 0.580E-03
    34.0 0.000E+00 0.000E+00 0.732E-06 0.206E-03 0.412E-05 0.404E-03 0.712E-03
    35.0 0.000E+00 0.000E+00 0.199E-05 0.196E-03 0.334E-05 0.607E-03 0.670E-03
    36.0 0.000E+00 0.000E+00 0.433E-05 0.156E-03 0.229E-05 0.759E-03 0.534E-03
    37.0 0.000E+00 0.000E+00 0.816E-05 0.112E-03 0.146E-05 0.848E-03 0.387E-03
    38.0 0.000E+00 0.000E+00 0.138E-04 0.752E-04 0.101E-05 0.876E-03 0.265E-03
    39.0 0.000E+00 0.000E+00 0.212E-04 0.487E-04 0.101E-05 0.851E-03 0.176E-03
