E_lab E*/MeV 180Pb 181Pb 182Pb 183Pb 184Pb 185Pb 186Pb
413.767 48.0 0.000E+00 0.716E-06 0.775E-03 0.167E-03 0.839E-03 0.802E-02 0.135E-03
415.767 49.0 0.000E+00 0.171E-05 0.758E-03 0.108E-03 0.116E-02 0.679E-02 0.861E-04
417.767 50.0 0.000E+00 0.374E-05 0.705E-03 0.695E-04 0.153E-02 0.558E-02 0.546E-04
419.767 51.0 0.000E+00 0.748E-05 0.627E-03 0.444E-04 0.193E-02 0.447E-02 0.343E-04
421.767 52.0 0.000E+00 0.138E-04 0.536E-03 0.287E-04 0.232E-02 0.350E-02 0.214E-04
423.767 53.0 0.000E+00 0.234E-04 0.443E-03 0.197E-04 0.266E-02 0.268E-02 0.133E-04
425.767 54.0 0.000E+00 0.370E-04 0.355E-03 0.161E-04 0.293E-02 0.202E-02 0.818E-05
427.767 55.0 0.584E-09 0.546E-04 0.277E-03 0.178E-04 0.310E-02 0.149E-02 0.501E-05
429.767 56.0 0.209E-08 0.756E-04 0.212E-03 0.258E-04 0.316E-02 0.109E-02 0.305E-05
431.767 57.0 0.663E-08 0.982E-04 0.158E-03 0.421E-04 0.310E-02 0.782E-03 0.184E-05
433.767 58.0 0.189E-07 0.120E-03 0.116E-03 0.695E-04 0.295E-02 0.555E-03 0.110E-05
437.767 60.0 0.114E-06 0.152E-03 0.600E-04 0.168E-03 0.243E-02 0.271E-03 0.385E-06
437.767 60.0 0.114E-06 0.152E-03 0.600E-04 0.168E-03 0.243E-02 0.271E-03 0.385E-06
439.767 61.0 0.245E-06 0.159E-03 0.423E-04 0.244E-03 0.213E-02 0.187E-03 0.219E-06
441.767 62.0 0.488E-06 0.158E-03 0.295E-04 0.337E-03 0.181E-02 0.128E-03 0.122E-06
443.767 63.0 0.899E-06 0.151E-03 0.205E-04 0.444E-03 0.151E-02 0.869E-04 0.644E-07
445.767 64.0 0.154E-05 0.140E-03 0.142E-04 0.559E-03 0.124E-02 0.586E-04 0.276E-07
447.767 65.0 0.248E-05 0.125E-03 0.101E-04 0.675E-03 0.996E-03 0.392E-04 0.000E+00
449.767 66.0 0.375E-05 0.108E-03 0.756E-05 0.784E-03 0.788E-03 0.261E-04 0.000E+00
451.767 67.0 0.534E-05 0.916E-04 0.643E-05 0.875E-03 0.615E-03 0.172E-04 0.000E+00
453.767 68.0 0.719E-05 0.758E-04 0.663E-05 0.943E-03 0.473E-03 0.113E-04 0.000E+00
