E_lab	E*/MeV	195At	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
265.037	126.0	0.578E-04	0.209E-03	0.100E-03	0.856E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
266.280	127.0	0.576E-04	0.181E-03	0.775E-04	0.548E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
267.522	128.0	0.565E-04	0.155E-03	0.597E-04	0.332E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
268.765	129.0	0.548E-04	0.133E-03	0.458E-04	0.154E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
270.007	130.0	0.524E-04	0.113E-03	0.349E-04	0.637E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
271.249	131.0	0.496E-04	0.950E-04	0.264E-04	0.285E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
272.492	132.0	0.464E-04	0.797E-04	0.198E-04	0.129E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
273.734	133.0	0.430E-04	0.664E-04	0.145E-04	0.583E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
274.977	134.0	0.394E-04	0.551E-04	0.104E-04	0.253E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
276.219	135.0	0.358E-04	0.455E-04	0.713E-05	0.973E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
277.462	136.0	0.323E-04	0.373E-04	0.469E-05	0.323E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
278.704	137.0	0.289E-04	0.305E-04	0.295E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
279.946	138.0	0.256E-04	0.249E-04	0.176E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
281.189	139.0	0.226E-04	0.202E-04	0.998E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
282.431	140.0	0.198E-04	0.163E-04	0.546E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
