E_lab	E*/MeV	194Po	195Po	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
268.765	129.0	0.543E-03	0.678E-02	0.152E-01	0.274E-02	0.489E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.359E-06	0.151E-05
270.007	130.0	0.650E-03	0.670E-02	0.130E-01	0.215E-02	0.276E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.386E-06	0.160E-05
271.249	131.0	0.762E-03	0.655E-02	0.110E-01	0.167E-02	0.134E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.416E-06	0.170E-05
272.492	132.0	0.876E-03	0.633E-02	0.927E-02	0.129E-02	0.733E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.447E-06	0.180E-05
273.734	133.0	0.988E-03	0.606E-02	0.777E-02	0.987E-03	0.391E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.479E-06	0.191E-05
274.977	134.0	0.109E-02	0.574E-02	0.647E-02	0.747E-03	0.203E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.513E-06	0.203E-05
276.219	135.0	0.119E-02	0.538E-02	0.537E-02	0.557E-03	0.104E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.550E-06	0.215E-05
277.462	136.0	0.128E-02	0.500E-02	0.443E-02	0.407E-03	0.536E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.589E-06	0.227E-05
278.704	137.0	0.135E-02	0.461E-02	0.364E-02	0.292E-03	0.289E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.630E-06	0.240E-05
279.946	138.0	0.141E-02	0.422E-02	0.297E-02	0.203E-03	0.165E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.674E-06	0.254E-05
281.189	139.0	0.145E-02	0.383E-02	0.241E-02	0.134E-03	0.938E-07	0.000E+00	0.606E-08	0.000E+00	0.000E+00	0.721E-06	0.268E-05
282.431	140.0	0.147E-02	0.345E-02	0.194E-02	0.598E-04	0.000E+00	0.000E+00	0.591E-08	0.000E+00	0.000E+00	0.770E-06	0.282E-05
